Date,seasonal_143
2025-04-17,-0.04881823935461238
2025-04-21,-1.6824213169806927
2025-04-22,1.2092901379333623
2025-04-23,9.8669316010742
2025-04-24,13.215847196158528
2025-04-25,12.648514717200058
2025-04-28,15.240945295757527
2025-04-29,6.751785670588052
2025-04-30,6.051300674231777
2025-05-01,0.7187570170828969
2025-05-02,-4.768251040898712
2025-05-05,-2.689122074337361
2025-05-06,-3.7350570464135147
2025-05-07,-2.8810023285160415
2025-05-08,-2.8598698391518877
2025-05-09,0.03874738834791905
2025-05-12,-7.146070707521813
2025-05-13,-6.304958463091014
2025-05-14,-11.883077346907202
2025-05-15,-6.3339418955988815
2025-05-16,-11.552354501258767
2025-05-19,-13.376044896524345
2025-05-20,-14.337910169687603
2025-05-21,-16.216721989855653
2025-05-22,-18.115555957486503
2025-05-23,-14.744450271644554
2025-05-27,-15.31340176122781
2025-05-28,-19.2354786285117
2025-05-29,-20.62984008168232
2025-05-30,-22.54966813185745
2025-06-02,-19.115767531509587
2025-06-03,-17.556214733766982
2025-06-04,-16.605139479439398
2025-06-05,-7.088992706304885
2025-06-06,-8.120287411164378
2025-06-09,-9.65924164534604
2025-06-10,-9.224944329767354
2025-06-11,-11.493157203058786
2025-06-12,-12.871096764873645
2025-06-13,-10.301843358090743
2025-06-16,-12.74246877673102
2025-06-17,-17.50106575598474
2025-06-18,-16.913411534740376
2025-06-20,-21.973113419021125
2025-06-23,-15.876449887814013
2025-06-24,-23.67867021227575
2025-06-25,-25.188907809204345
2025-06-26,-22.112297339317788
2025-06-27,-23.242916581677783
2025-06-30,-31.08414338007416
2025-07-01,-35.35895380646449
2025-07-02,-33.07978877502377
2025-07-03,-33.376452265198004
2025-07-04,-27.01688756851657
2025-07-07,-33.19640294484773
2025-07-08,-30.228453290607877
2025-07-09,-33.79294112474812
2025-07-10,-32.97931582831749
2025-07-11,-32.81958098399113
2025-07-14,-23.817062108560723
2025-07-15,-29.08870520530692
2025-07-16,-15.870370220357326
2025-07-17,-19.955430148290603
2025-07-18,-19.45689532884632
2025-07-21,-21.913413605705593
2025-07-22,-23.800849636440233
2025-07-23,-21.634879926036735
2025-07-24,-16.373181710011977
2025-07-25,-19.811272459079962
2025-07-28,-19.05949528006415
2025-07-29,-21.81925355667596
2025-07-30,-26.58169421433597
2025-07-31,-25.6848268135741
2025-08-01,-30.903952692940443
2025-08-04,-30.9334542409172
2025-08-05,-27.143754617017873
2025-08-06,-26.869759652434944
2025-08-07,-24.238499691003568
2025-08-08,-19.837319222064153
2025-08-11,-13.176741497634904
2025-08-12,-14.895157702841987
2025-08-13,-13.084654761153274
2025-08-14,-12.777479194658918
2025-08-15,-0.2490003146012938
2025-08-18,0.6482883796040977
2025-08-19,5.038367668421494
2025-08-20,7.224625909321798
2025-08-21,13.746312994604699
2025-08-22,24.22243270947496
2025-08-25,27.58652118025759
2025-08-26,32.045192238922404
2025-08-27,34.59343067224166
2025-08-28,32.77871074320365
2025-08-29,42.322923832215714
2025-09-02,36.799489238334424
2025-09-03,38.33851486694386
2025-09-04,46.10660110154708
2025-09-05,37.8304300324204
2025-09-08,46.34839968169543
2025-09-09,46.78516800305532
2025-09-10,43.531271535626814
2025-09-11,40.684593693405084
2025-09-12,45.73462350183543
2025-09-15,44.63096307019126
2025-09-16,42.34524479479023
2025-09-17,25.166475800333625
2025-09-18,18.858476344392255
2025-09-19,9.309192279784755
2025-09-22,10.210902888087348
2025-09-23,1.7502152387001684
2025-09-24,14.824014991203757
2025-09-25,21.86312516446721
2025-09-26,26.590191310054017
2025-09-29,15.514229276291305
2025-09-30,15.578838984086525
2025-10-01,16.694586367016367
2025-10-02,19.265728931297897
2025-10-03,23.811300317817643
2025-10-06,20.813390554678147
2025-10-07,14.893778050860611
2025-10-08,21.306544096718127
2025-10-09,17.830409104145694
2025-10-10,17.462362520749153
2025-10-13,22.76580136747116
2025-10-14,29.063989604121797
2025-10-15,28.511300835411227
2025-10-16,29.209306170546917
2025-10-17,25.39811700745388
2025-10-20,23.95692873417602
2025-10-21,26.763485959342653
2025-10-22,28.161584137391248
2025-10-23,27.532828409625495
2025-10-24,22.75375333187699
2025-10-27,18.23705872099196
2025-10-28,9.387716967155706
2025-10-29,4.561138156816812
2025-10-30,6.3966784875186535
2025-10-31,7.498406945697232
2025-11-03,14.023744598092058
2025-11-04,18.857338277713808
2025-11-05,21.39953767719558
2025-11-06,17.08383532429562
2025-11-07,22.05580879086834
